Year,Debt/GSDP,Delta b,Growth Rate,Real Growth,Interest Payment,,Inflation,Interest Rate,Primary Deficit,Fisher Dynamics,SFA
1981,0.1470,,,,82.0000,172.0000,,0.0600,0.0190,,
1982,0.1680,0.0220,0.0690,-0.0070,100.0000,277.0000,0.0760,0.0600,0.0280,0.0270,-0.0050
1983,0.1540,-0.0150,0.2830,0.1940,117.0000,280.0000,0.0880,0.0600,0.0220,-0.0070,-0.0080
1984,0.1740,0.0200,0.0500,0.0050,146.0000,374.0000,0.0450,0.0630,0.0280,0.0300,-0.0100
1985,0.1970,0.0230,0.0510,-0.0170,188.0000,327.0000,0.0680,0.0680,0.0230,0.0260,-0.0040
1986,0.2010,0.0040,0.1560,0.0680,245.0000,655.0000,0.0890,0.0750,0.0400,0.0270,-0.0230
1987,0.2440,0.0430,0.0100,-0.0970,311.0000,666.0000,0.1070,0.0780,0.0410,0.0540,-0.0110
1988,0.2020,-0.0410,0.3680,0.3560,392.0000,343.0000,0.0110,0.0870,0.0150,-0.0350,-0.0060
1989,0.2150,0.0130,0.1090,-0.0080,470.0000,482.0000,0.1170,0.0880,0.0190,0.0160,-0.0030
1990,0.2890,0.0730,0.1300,0.0220,530.0000,1270.0000,0.1080,0.0660,0.0450,0.0330,0.0400
1991,0.3060,0.0170,0.0940,-0.0760,720.0000,1160.0000,0.1700,0.0770,0.0380,0.0330,-0.0160
1992,0.2600,-0.0450,0.3160,0.2910,930.0000,250.0000,0.0250,0.0890,0.0060,-0.0470,0.0020
1993,0.2330,-0.0270,0.2200,-0.0200,1050.0000,-520.0000,0.2410,0.0920,-0.0110,-0.0380,0.0110
1994,0.2050,-0.0280,0.2910,0.1970,1190.0000,100.0000,0.0940,0.0920,0.0020,-0.0340,0.0060
1995,0.2070,0.0020,0.1320,0.0590,1330.0000,420.0000,0.0730,0.0890,0.0060,-0.0020,0.0040
1996,0.1980,-0.0090,0.1940,0.1490,1610.0000,750.0000,0.0450,0.0950,0.0090,-0.0090,0.0000
1997,0.2240,0.0260,0.0620,0.0220,1880.0000,1290.0000,0.0400,0.0920,0.0140,0.0200,0.0060
1998,0.2380,0.0140,0.1550,0.0770,2260.0000,3360.0000,0.0770,0.0900,0.0320,0.0190,-0.0050
1999,0.3110,0.0730,0.0430,0.0110,2810.0000,3980.0000,0.0330,0.0820,0.0360,0.0450,0.0280
2000,0.3850,0.0740,0.0120,-0.0520,3130.0000,4860.0000,0.0640,0.0730,0.0440,0.0630,0.0110
2001,0.3880,0.0030,0.1120,0.0860,4210.0000,2300.0000,0.0260,0.0880,0.0190,0.0100,-0.0070
2002,0.3900,0.0020,0.1450,0.0860,4950.0000,1130.0000,0.0590,0.0900,0.0080,-0.0110,0.0130
2003,0.3710,-0.0190,0.1880,0.1530,5800.0000,3360.0000,0.0350,0.0930,0.0200,-0.0110,-0.0080
2004,0.3510,-0.0200,0.2100,0.1060,6080.0000,2620.0000,0.1040,0.0850,0.0130,-0.0250,0.0050
2005,0.3390,-0.0120,0.2030,0.1570,6140.0000,130.0000,0.0470,0.0740,0.0010,-0.0370,0.0260
2006,0.3210,-0.0190,0.1590,0.0900,6930.0000,-1280.0000,0.0690,0.0760,-0.0050,-0.0290,0.0100
2007,0.3050,-0.0160,0.1610,0.1150,7480.0000,-2710.0000,0.0460,0.0750,-0.0080,-0.0320,0.0160
2008,0.2990,-0.0060,0.1170,0.0710,7880.0000,2550.0000,0.0460,0.0720,0.0070,-0.0050,-0.0010
2009,0.2860,-0.0120,0.1720,0.1190,8590.0000,6560.0000,0.0540,0.0700,0.0150,-0.0110,-0.0010
2010,0.2740,-0.0120,0.2090,0.1100,9630.0000,5450.0000,0.0990,0.0670,0.0100,-0.0230,0.0110
2011,0.2460,-0.0280,0.1800,0.0740,10930.0000,90.0000,0.1070,0.0720,0.0000,-0.0250,-0.0030
2012,0.2340,-0.0120,0.1770,0.1160,12160.0000,4330.0000,0.0610,0.0720,0.0060,-0.0160,0.0040
2013,0.2330,0.0000,0.1150,0.0780,13330.0000,5090.6900,0.0360,0.0710,0.0060,-0.0030,0.0030
2014,0.2200,-0.0140,0.1410,0.1090,14946.0000,3373.6900,0.0330,0.0740,0.0040,-0.0100,-0.0040
2015,0.2250,0.0050,0.1160,0.1040,16382.0000,6720.0000,0.0130,0.0710,0.0070,-0.0020,0.0080
2016,0.2090,-0.0160,0.1300,0.1030,17800.0000,-1320.0000,0.0260,0.0730,-0.0010,-0.0120,-0.0030
2017,0.2040,-0.0050,0.1070,,18954.0000,2412.0000,,0.0720,0.0020,0.0170,-0.0220
