Year,,Liabilities,Debt/GSDP,Delta b,Growth Rate,Real Growth,Inflation,,,Primary Deficit,Interest Rate,,SFA
,Rs crore,,,,,,,,,,,,
1981,3894.0000,16887.4000,0.2310,,,,,177.0000,275.0000,0.0163,0.0455,,
1982,4330.0000,19724.4400,0.2200,-0.0110,0.1680,0.0840,0.0840,215.0000,367.0000,0.0186,0.0497,-0.0048,-0.0063
1983,4915.0000,21896.0300,0.2240,0.0050,0.1100,0.0420,0.0680,254.0000,828.0000,0.0378,0.0517,0.0263,-0.0213
1984,6052.0000,24211.4700,0.2500,0.0250,0.1060,0.0190,0.0860,338.0000,1155.0000,0.0477,0.0558,0.0376,-0.0121
1985,7286.0000,27748.0900,0.2630,0.0130,0.1460,0.0420,0.1040,321.0000,737.0000,0.0266,0.0441,0.0043,0.0083
1986,8058.0000,30656.6100,0.2630,0.0000,0.1050,0.0470,0.0580,543.0000,867.0000,0.0283,0.0674,0.0194,-0.0191
1987,9189.0000,34352.4200,0.2670,0.0050,0.1210,0.0490,0.0710,694.0000,320.0000,0.0093,0.0755,-0.0012,0.0059
1988,10370.0000,41101.5900,0.2520,-0.0150,0.1960,0.1300,0.0660,815.0000,987.0000,0.0240,0.0786,-0.0023,-0.0129
1989,12360.0000,46925.5200,0.2630,0.0110,0.1420,0.0340,0.1070,1042.0000,1440.0000,0.0307,0.0843,0.0180,-0.0069
1990,19760.0000,55505.7100,0.3560,0.0930,0.1830,0.0660,0.1170,1280.0000,1790.0000,0.0322,0.0648,0.0060,0.0866
1991,22978.0000,64677.2300,0.3550,-0.0010,0.1650,0.0150,0.1500,1710.0000,1130.0000,0.0175,0.0744,-0.0103,0.0095
1992,26366.0000,70704.3500,0.3730,0.0180,0.0930,0.0180,0.0750,2040.0000,1670.0000,0.0236,0.0774,0.0185,-0.0008
1993,29693.0000,80451.0900,0.3690,-0.0040,0.1380,0.0320,0.1060,2110.0000,1060.0000,0.0132,0.0711,-0.0087,0.0049
1994,34264.0000,94019.1200,0.3640,-0.0050,0.1690,0.0640,0.1050,3090.0000,1680.0000,0.0179,0.0902,-0.0069,0.0023
1995,38998.0000,106249.4600,0.3670,0.0030,0.1300,0.0400,0.0900,3330.0000,1060.0000,0.0100,0.0854,-0.0044,0.0070
1996,45630.0000,127778.0000,0.3570,-0.0100,0.2030,0.1170,0.0860,4060.0000,1900.0000,0.0149,0.0890,-0.0198,0.0099
1997,52428.0000,137560.7300,0.3810,0.0240,0.0770,-0.0010,0.0770,4690.0000,2890.0000,0.0210,0.0895,0.0253,-0.0013
1998,62103.0000,153852.8400,0.4040,0.0230,0.1180,0.0300,0.0880,5520.0000,6120.0000,0.0398,0.0889,0.0297,-0.0072
1999,77934.0000,175159.3500,0.4450,0.0410,0.1380,0.0590,0.0790,6550.0000,4550.0000,0.0260,0.0840,0.0067,0.0346
2000,83098.0000,181512.2100,0.4580,0.0130,0.0360,0.0220,0.0140,7450.0000,2720.0000,0.0150,0.0897,0.0379,-0.0250
2001,95822.0000,190268.9000,0.5040,0.0460,0.0480,0.0220,0.0260,8220.0000,1680.0000,0.0088,0.0858,0.0252,0.0206
2002,105126.0000,206855.4700,0.5080,0.0050,0.0870,0.0390,0.0480,7060.0000,2440.0000,0.0118,0.0672,0.0025,0.0021
2003,124063.0000,226972.4800,0.5470,0.0380,0.0970,0.0550,0.0420,10120.0000,6530.0000,0.0288,0.0816,0.0215,0.0169
2004,136273.0000,260840.6600,0.5220,-0.0240,0.1490,0.0590,0.0900,11870.0000,1130.0000,0.0043,0.0871,-0.0252,0.0010
2005,154061.0000,293171.6700,0.5250,0.0030,0.1240,0.0690,0.0550,9100.0000,980.0000,0.0033,0.0591,-0.0268,0.0299
2006,167776.0000,336316.7900,0.4990,-0.0270,0.1470,0.0860,0.0620,10480.0000,-860.0000,-0.0026,0.0625,-0.0414,0.0147
2007,179741.0000,383025.5200,0.4690,-0.0300,0.1390,0.0780,0.0610,10820.0000,2970.0000,0.0078,0.0602,-0.0267,-0.0029
2008,192767.0000,444684.8600,0.4330,-0.0360,0.1610,0.0760,0.0850,11380.0000,9140.0000,0.0206,0.0590,-0.0207,-0.0151
2009,206430.0000,523394.1800,0.3940,-0.0390,0.1770,0.0730,0.1040,11990.0000,6700.0000,0.0128,0.0581,-0.0310,-0.0081
2010,229930.0000,600285.7200,0.3830,-0.0110,0.1470,0.0840,0.0630,14220.0000,3030.0000,0.0050,0.0618,-0.0242,0.0128
2011,244370.0000,724050.4400,0.3380,-0.0460,0.2060,0.0640,0.1420,15480.0000,-50.0000,-0.0001,0.0633,-0.0454,-0.0001
2012,244090.0000,822392.9300,0.2970,-0.0410,0.1360,0.0510,0.0850,16920.0000,2320.0000,0.0028,0.0693,-0.0169,-0.0238
2013,266240.0000,940356.4500,0.2830,-0.0140,0.1430,0.0630,0.0810,17410.0000,6267.1060,0.0067,0.0654,-0.0136,-0.0001
2014,314070.0000,1011789.6800,0.3100,0.0270,0.0760,0.0420,0.0340,18864.0000,13648.7200,0.0135,0.0601,0.0093,0.0180
2015,385337.0000,1137209.6200,0.3390,0.0280,0.1240,0.0910,0.0330,21450.0000,37030.0000,0.0326,0.0557,0.0137,0.0147
2016,473348.0000,1250213.0000,0.3790,0.0400,0.0990,0.0760,0.0230,26940.0000,29050.0000,0.0232,0.0569,0.0035,0.0363
2017,517584.0000,1375607.0000,0.3760,-0.0020,0.1000,0.0700,0.0310,29136.0000,2027.0000,0.0015,0.0563,-0.0235,0.0211
2018,,1542432.4400,,,,,0.0530,,,,,,
