Year,Liabilities,GSDP,Debt/GSDP,Delta b,Growth Rate,Real Growth,Inflation,,,Primary Deficit,Interest Rate,,SFA
,Rs crore,,,,,,,,,,,,
1981,2578.0000,11575.0000,0.2230,,,,,117.0000,263.1000,0.0230,0.0450,,
1982,3100.0000,13049.0000,0.2380,0.0150,0.1270,0.0430,0.0840,170.0000,327.8000,0.0250,0.0550,0.0108,0.0040
1983,3571.0000,15302.0000,0.2330,-0.0040,0.1730,0.1190,0.0530,184.0000,229.9000,0.0150,0.0520,-0.0095,0.0053
1984,3921.0000,17676.0000,0.2220,-0.0120,0.1550,0.0330,0.1220,244.0000,95.7000,0.0050,0.0620,-0.0134,0.0018
1985,4366.0000,19033.0000,0.2290,0.0080,0.0770,0.0450,0.0320,275.0000,-16.0000,-0.0010,0.0630,-0.0037,0.0112
1986,4780.0000,20803.0000,0.2300,0.0000,0.0930,0.0440,0.0490,334.0000,253.0000,0.0120,0.0700,0.0073,-0.0069
1987,5147.0000,25078.0000,0.2050,-0.0250,0.2050,0.0620,0.1440,394.0000,157.0000,0.0060,0.0770,-0.0183,-0.0062
1988,5505.0000,27107.0000,0.2030,-0.0020,0.0810,0.0460,0.0350,449.0000,130.0000,0.0050,0.0820,0.0049,-0.0071
1989,6369.0000,30623.0000,0.2080,0.0050,0.1300,0.0420,0.0880,530.0000,525.0000,0.0170,0.0830,0.0088,-0.0039
1990,8857.0000,34797.0000,0.2550,0.0470,0.1360,0.0590,0.0770,630.0000,1003.7000,0.0290,0.0710,0.0169,0.0296
1991,10135.0000,40380.0000,0.2510,-0.0040,0.1600,0.0830,0.0780,830.0000,313.7000,0.0080,0.0820,-0.0095,0.0059
1992,11281.0000,43290.0000,0.2610,0.0100,0.0720,0.0330,0.0390,970.0000,42.5000,0.0010,0.0860,0.0042,0.0054
1993,12926.0000,53424.0000,0.2420,-0.0190,0.2340,0.0840,0.1500,1170.0000,501.9000,0.0090,0.0910,-0.0209,0.0023
1994,15128.0000,62032.0000,0.2440,0.0020,0.1610,0.0740,0.0870,1330.0000,635.3000,0.0100,0.0880,-0.0050,0.0069
1995,17716.0000,73865.0000,0.2400,-0.0040,0.1910,0.0820,0.1090,1620.0000,1076.3000,0.0150,0.0910,-0.0058,0.0017
1996,21114.0000,82075.0000,0.2570,0.0170,0.1110,0.0720,0.0390,1940.0000,1456.9000,0.0180,0.0920,0.0136,0.0038
1997,25173.0000,97966.0000,0.2570,0.0000,0.1940,0.0910,0.1030,2410.0000,1597.7000,0.0160,0.0960,-0.0048,0.0045
1998,32192.0000,115516.0000,0.2790,0.0220,0.1790,0.0700,0.1090,2950.0000,4159.1000,0.0360,0.0920,0.0169,0.0048
1999,44042.0000,135376.0000,0.3250,0.0470,0.1720,0.0750,0.0960,4170.0000,7496.4000,0.0550,0.0950,0.0370,0.0096
2000,54929.0000,143725.0000,0.3820,0.0570,0.0620,0.0390,0.0220,5250.0000,5670.2000,0.0390,0.0960,0.0498,0.0070
2001,66396.0000,157144.0000,0.4230,0.0400,0.0930,0.0750,0.0190,6380.0000,5424.1000,0.0350,0.0960,0.0355,0.0049
2002,78325.0000,168000.0000,0.4660,0.0440,0.0690,0.0390,0.0300,7670.0000,2900.0000,0.0170,0.0980,0.0287,0.0150
2003,89472.0000,189259.0000,0.4730,0.0070,0.1270,0.0660,0.0610,9210.0000,3660.0000,0.0190,0.1030,0.0096,-0.0030
2004,97342.0000,208656.0000,0.4670,-0.0060,0.1020,0.0710,0.0310,9620.0000,1030.0000,0.0050,0.0990,0.0034,-0.0096
2005,114419.0000,230245.0000,0.4970,0.0300,0.1030,0.0650,0.0380,9750.0000,-150.0000,-0.0010,0.0850,-0.0084,0.0388
2006,124153.0000,261682.0000,0.4740,-0.0230,0.1370,0.0820,0.0540,10880.0000,550.0000,0.0020,0.0880,-0.0193,-0.0032
2007,136422.0000,299483.0000,0.4560,-0.0190,0.1440,0.0820,0.0620,11380.0000,20.0000,0.0000,0.0830,-0.0252,0.0063
2008,150434.0000,341942.0000,0.4400,-0.0160,0.1420,0.0530,0.0880,12070.0000,1490.0000,0.0040,0.0800,-0.0202,0.0046
2009,175510.0000,398880.0000,0.4400,0.0000,0.1670,0.0870,0.0800,13310.0000,11640.0000,0.0290,0.0760,-0.0050,0.0051
2010,192920.0000,460959.0000,0.4190,-0.0210,0.1560,0.0630,0.0920,13820.0000,5710.0000,0.0120,0.0720,-0.0196,-0.0019
2011,213620.0000,520485.0000,0.4100,-0.0080,0.1290,0.0510,0.0780,15900.0000,1800.0000,0.0030,0.0740,-0.0168,0.0087
2012,236110.0000,591464.0000,0.3990,-0.0110,0.1360,0.0450,0.0910,17570.0000,1580.0000,0.0030,0.0740,-0.0197,0.0085
2013,259010.0000,676848.0000,0.3830,-0.0170,0.1440,0.0330,0.1110,20760.0000,4590.0000,0.0070,0.0800,-0.0156,-0.0009
2014,277320.0000,718082.0000,0.3860,0.0040,0.0610,0.0290,0.0320,21590.0000,5760.0000,0.0080,0.0780,0.0141,-0.0106
2015,314740.0000,797300.0000,0.3950,0.0090,0.1100,0.0640,0.0460,23100.0000,-2210.0000,-0.0030,0.0730,-0.0305,0.0391
2016,337610.0000,879167.0000,0.3840,-0.0110,0.1030,0.0810,0.0220,25700.0000,-310.0000,0.0000,0.0760,-0.0173,0.0065
2017,371072.0000,1020858.0000,0.3630,-0.0210,0.1610,0.0970,0.0640,28074.0000,857.0000,0.0010,0.0760,-0.0460,0.0255
