Tamil Nadu,Year,Madhya Pradesh
,,
16.07%,1981,21.45%
17.62%,1982,22.11%
17.56%,1983,21.98%
16.88%,1984,23.76%
16.23%,1985,23.86%
16.53%,1986,25.83%
16.65%,1987,23.36%
16.79%,1988,23.45%
17.05%,1989,23.41%
22.47%,1990,25.52%
22.57%,1991,27.00%
23.73%,1992,31.28%
20.18%,1993,28.42%
19.72%,1994,28.73%
19.35%,1995,29.04%
19.34%,1996,28.97%
18.84%,1997,29.93%
19.62%,1998,31.72%
22.04%,1999,32.36%
23.53%,2000,27.94%
26.25%,2001,30.02%
28.12%,2002,34.41%
29.51%,2003,36.92%
25.56%,2004,39.48%
24.76%,2005,39.95%
22.08%,2006,36.47%
21.06%,2007,34.00%
21.47%,2008,30.57%
21.20%,2009,29.85%
19.57%,2010,28.68%
17.38%,2011,25.66%
17.88%,2012,23.49%
18.54%,2013,21.93%
17.30%,2014,22.66%
19.42%,2015,23.53%
22.32%,2016,24.11%
22.89%,2017,23.80%
